Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width
ID1_0001,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 09:01:53.776,2023-08-23 09:01:56.625,00:00:02.849000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0002,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 09:06:49.635,2023-08-23 09:08:44.921,00:01:55.286000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0004,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 09:13:20.758,2023-08-23 09:13:52.189,00:00:31.431000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0005,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 09:14:04.839,2023-08-23 09:15:09.092,00:01:04.253000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0006,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 09:29:06.795,2023-08-23 09:29:21.265,00:00:14.470000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0007,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 12:08:16.657,2023-08-23 12:08:22.365,00:00:05.708000,beetle,Insecta,Coleoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,60.96164921465981,8.591989528795812,2.924581151832462
ID1_0008,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 12:08:30.805,2023-08-23 12:08:54.991,00:00:24.186000,noth,Insecta,Lepidoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,17.31275862068966,8.628275862068964,1.9603448275862072
ID1_0009,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 14:02:22.289,2023-08-23 14:03:00.863,00:00:38.574000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0010,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 17:03:31.423,2023-08-23 17:03:35.765,00:00:04.342000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0013,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 18:30:37.664,2023-08-23 18:30:51.890,00:00:14.226000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0014,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 18:31:08.683,2023-08-23 18:31:24.244,00:00:15.561000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0016,ID,ID1,Site1,Maize,IDxMaize,2023-08-23 18:34:21.043,2023-08-23 18:34:29.586,00:00:08.543000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0018,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 09:07:41.470,2023-08-24 09:07:44.325,00:00:02.855000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0019,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 09:22:37.533,2023-08-24 09:23:04.630,00:00:27.097000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0020,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 09:26:25.741,2023-08-24 09:26:28.553,00:00:02.812000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0023,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 14:02:23.501,2023-08-24 14:02:50.704,00:00:27.203000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0025,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 18:03:36.615,2023-08-24 18:04:39.222,00:01:02.607000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0027,ID,ID1,Site1,Maize,IDxMaize,2023-08-24 18:14:32.414,2023-08-24 18:14:45.253,00:00:12.839000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
