Date,Device_ID,Device_type,Device,Site,Ambient,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width,Count
2023-08-23,AMMOD1_0001,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Ceratopogonidae,Forcipomyiinae,Forcipomyia,bipunctata,0.9550000000000001,3.165,0.7849999999999999,85
2023-08-23,AMMOD1_0002,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,Bibioninae,Dilophus,febrilis,1.8561538461538463,3.6023076923076927,0.9615384615384617,1
2023-08-23,AMMOD1_0003,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Siphona,geniculata,8.696344827586204,5.522551724137931,1.7546666666666675,1211
2023-08-23,AMMOD1_0004,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae,Vespula,germanica,71.46,13.613333333333335,4.026666666666666,18
2023-08-23,AMMOD1_0005,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Agromyzinae,Agromyza,paralucida,1.27,3.23,0.8766666666666666,12
2023-08-23,AMMOD1_0006,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,88
2023-08-23,AMMOD1_0007,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Hoplodrina,ambigua,1.95,3.9666666666666663,1.0333333333333334,1286
2023-08-23,AMMOD1_0008,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Botanophila,fugax,4.8100000000000005,4.535,1.6749999999999998,228
2023-08-23,AMMOD1_0009,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Schwenckfeldina,carbonaria,3.12,4.300000000000001,1.165,294
2023-08-23,AMMOD1_0010,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Diplonevra,nitidula,1.2314285714285715,2.912857142857143,0.89,482
2023-08-23,AMMOD1_0011,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,2494
2023-08-23,AMMOD1_0012,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Incertella,albipalpis,2.167586206896551,3.907931034482758,1.0355172413793103,9
2023-08-23,AMMOD1_0013,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,379
2023-08-23,AMMOD1_0014,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Adephaga,Geadephaga,Caraboidea,Carabidae,Platyninae,Calathus,fuscipes,185.01216216216224,15.843693693693686,5.774954954954958,57
2023-08-23,AMMOD1_0015,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,1867
2023-08-23,AMMOD1_0016,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Phygadeuontinae,Phygadeuon,trichops,5.311379310344828,5.228275862068966,1.1537931034482758,181
2023-08-23,AMMOD1_0017,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Lydella,grisescens,8.696344827586204,5.522551724137931,1.7546666666666675,120
2023-08-23,AMMOD1_0018,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,tigrina,13.525750000000013,5.991083333333332,2.2562500000000005,108
2023-08-23,AMMOD1_0019,AMMOD,AMMOD1,Site1,Maize,Arachnida,Opiliones,Palpatores,#child.Palpatores,Phalangioidea,Phalangiidae,Phalangiinae,Phalangium,opilio,24.274390243902445,4.291219512195122,2.517317073170732,2
2023-08-23,AMMOD1_0020,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,urticae,3.12,4.300000000000001,1.165,12
2023-08-23,AMMOD1_0021,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Phytomyza,rufipes,1.27,3.23,0.8766666666666666,34
2023-08-23,AMMOD1_0022,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,Luciliinae,Lucilia,caesar,8.696344827586204,5.522551724137931,1.7546666666666675,527
2023-08-23,AMMOD1_0023,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Eupeodes,corollae,12.29572580645161,7.508467741935483,2.1483064516129025,144
2023-08-23,AMMOD1_0024,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,Aleochara,bilineata,22.330000000000005,10.233272727272729,2.0220000000000002,17
2023-08-23,AMMOD1_0025,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Amauromyza,karli,1.27,3.23,0.8766666666666666,4
2023-08-23,AMMOD1_0026,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Chironomus,nuditarsis,0.9550000000000001,3.165,0.7849999999999999,8
2023-08-23,AMMOD1_0027,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Scaptomyza,flava,8.696344827586204,5.522551724137931,1.7546666666666675,77
2023-08-23,AMMOD1_0028,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Chironomus,dorsalis,0.9550000000000001,3.165,0.7849999999999999,3
2023-08-23,AMMOD1_0029,AMMOD,AMMOD1,Site1,Maize,Arachnida,Araneae,Opisthothelae,Araneomorphae,Araneoidea,Linyphiidae,Linyphiinae,Porrhomma,microphthalmum,1.8317105263157896,2.26736842105263,0.9770394736842106,6
2023-08-23,AMMOD1_0030,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,crassimargo,8.696344827586204,5.522551724137931,1.7546666666666675,3
2023-08-23,AMMOD1_0031,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae,Crossocerus,annulipes,64.4823076923077,8.925897435897436,3.27948717948718,34
2023-08-23,AMMOD1_0032,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Agromyzinae,Ophiomyia,nasuta,1.27,3.23,0.8766666666666666,32
2023-08-23,AMMOD1_0033,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Tabaninae,Tabanus,bromius,2.56,4.18,1.21,19
