Date,Device,Device_type,Site,Ambient,DevicexAmbien,Dry_mass_g,Live_mass
2023-08-23,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.622,2488
2023-08-24,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.569000000000003,2276.00000000001
2023-08-25,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.958000000000013,3832.00000000005
2023-08-26,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.896000000000001,3584
2023-08-27,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.409000000000006,1636.00000000002
2023-08-28,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.153000000000006,612.000000000023
2023-08-29,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.124000000000009,496.000000000038
2023-08-30,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.310000000000002,1240.00000000001
2023-08-31,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.373000000000005,1492.00000000002
2023-09-01,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.224000000000004,896.000000000015
2023-09-02,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.686999999999998,2747.99999999999
2023-09-03,AMMOD1,AMMOD,Site1,Maize,AMMODxMaize,0.512000000000015,2048.00000000006
2023-08-23,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.960000000000008,3840.00000000003
2023-08-24,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.593000000000004,2372.00000000001
2023-08-25,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.947000000000017,3788.00000000007
2023-08-26,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,1.825,7300.00000000001
2023-08-27,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.375000000000014,1500.00000000006
2023-08-28,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.120000000000019,480.000000000075
2023-08-29,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.116,463.999999999999
2023-08-30,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.222999999999999,891.999999999996
2023-08-31,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.160000000000011,640.000000000043
2023-09-01,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.25800000000001,1032.00000000004
2023-09-02,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.299000000000007,1196.00000000003
2023-09-03,AMMOD2,AMMOD,Site2,Maize,AMMODxMaize,0.379000000000005,1516.00000000002
2023-08-23,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,1.032,4127.99999999999
2023-08-24,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,1.79800000000002,7192.00000000006
2023-08-25,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,1.193,4771.99999999999
2023-08-26,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,0.684000000000012,2736.00000000005
2023-08-27,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,0.382999999999996,1531.99999999998
2023-08-28,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,0.475000000000009,1900.00000000003
2023-08-29,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,0.321000000000012,1284.00000000005
2023-08-30,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,0.811999999999998,3247.99999999999
2023-08-31,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,,
2023-09-01,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,,
2023-09-02,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,,
2023-09-03,AMMOD3,AMMOD,Site3,Meadow,AMMODxMeadow,,
2023-08-23,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-24,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-25,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-26,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-27,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-28,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-29,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-30,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-08-31,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-09-01,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-09-02,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
2023-09-03,AMMOD4,AMMOD,Site4,Meadow,AMMODxMeadow,,
